id,count
0,63.775787
1,234.18114
2,21.563742
4,42.648087
5,47.924137
10,152.10309
11,220.9379
12,272.438
15,46.088715
17,24.870768
18,283.72293
23,195.93497
25,121.88379
26,72.74271
31,201.37494
39,192.45213
40,40.414074
41,118.42593
42,
43,133.82593
51,259.2886
52,86.44792
54,49.705963
60,123.37256
61,125.79274
62,121.50937
63,31.31616
65,131.93942
66,111.4171
68,224.36072
71,86.2817
80,58.536846
82,
94,125.0728
98,260.16376
101,57.40405
102,147.52934
107,84.71318
112,327.29385
113,112.978195
115,
116,120.35862
120,149.37164
121,162.06543
122,304.12277
132,197.87152
143,26.92661
147,
150,32.667652
151,91.141815
152,292.51022
153,122.82831
155,91.38423
156,123.699684
159,180.5715
161,117.00873
163,69.60584
177,147.70422
186,43.24254
188,20.717812
190,66.78064
191,116.09935
192,233.65213
195,279.6279
200,199.28339
209,291.20096
210,57.117477
211,234.25479
214,198.531
215,58.39995
218,102.455696
219,47.993797
222,133.25137
225,31.439688
228,290.36334
236,197.99712
241,38.326286
242,223.97157
243,193.36017
245,33.061413
247,228.88318
251,165.21045
252,91.36618
253,94.42911
254,108.41798
258,231.37756
260,
261,157.16858
265,97.94593
266,259.85587
267,233.76416
269,168.73592
270,
275,109.06346
278,68.16132
279,83.24579
286,88.86288
287,33.37994
288,184.59276
289,179.05719
293,28.282196
294,169.88342
297,
302,108.45763
303,61.36247
304,60.71901
307,108.53582
309,32.97612
311,205.26607
312,109.220055
314,226.35509
315,232.66806
319,184.42215
322,131.06062
323,
325,122.23733
327,236.93987
330,59.2448
332,185.6589
333,36.937885
338,107.48066
341,99.32819
345,93.61821
348,165.91763
349,89.55101
350,119.33464
352,
355,24.742619
356,
358,
363,149.96317
369,167.56915
371,34.992123
372,146.84152
375,274.1685
380,119.85593
388,62.97151
391,
392,286.80377
393,309.54706
394,105.15347
396,36.81732
401,48.736202
407,83.8389
409,110.52652
410,132.65082
416,111.00476
418,121.019745
420,142.1553
421,284.31198
422,163.85263
424,274.8081
428,248.00024
429,287.33936
431,196.2702
435,29.58465
439,110.667786
441,36.095486
447,109.63764
449,171.9372
451,181.20578
452,40.056324
454,215.56169
458,277.6495
463,131.31233
467,43.668285
470,87.99773
471,146.14093
474,281.04474
478,48.24617
483,129.34903
484,124.8121
485,103.528885
486,116.58219
491,111.56213
494,101.911674
495,213.30286
497,191.845
499,175.11235
515,109.65087
518,198.56209
521,140.05032
525,
529,269.09433
532,125.100494
534,108.429886
540,96.00195
544,271.71945
547,151.4815
549,70.410194
563,60.71722
564,159.95456
567,116.80449
572,112.595985
577,156.0466
578,253.2468
585,228.12814
588,158.15475
589,118.112724
590,113.98752
592,50.573692
594,84.87188
596,38.4131
598,264.18607
599,130.13133
605,51.555992
606,123.23467
607,239.66167
608,201.0903
609,
610,268.20697
611,151.06625
614,
615,232.89024
616,252.09096
617,136.51993
618,247.2245
624,120.39011
629,133.5241
631,128.35527
633,93.60695
637,54.762104
638,109.69161
643,
644,174.04079
645,58.849083
646,190.04803
648,223.461
650,50.342834
651,111.40973
652,235.21536
656,170.1963
657,39.60775
659,58.7535
660,204.85672
662,103.252335
665,319.81924
675,
681,163.0552
682,159.33804
685,64.41313
686,171.31885
689,47.716454
696,120.764565
703,179.7972
704,107.499985
705,187.51076
714,207.19826
717,105.24999
718,53.11483
720,81.34511
721,333.70804
723,194.77533
726,118.48179
728,125.40941
730,93.051254
731,52.09411
734,241.39813
737,88.816444
738,29.092163
745,159.83197
746,55.27585
749,250.59955
752,49.721325
753,119.61509
758,217.8374
765,50.094475
766,296.42963
768,96.029495
769,168.52068
774,156.34593
775,125.896286
781,
784,299.4932
794,56.377464
795,246.46165
796,101.29932
802,101.97861
803,125.17627
805,63.673737
806,244.74475
807,111.97002
809,34.714577
810,178.61833
812,122.986694
814,103.658714
818,278.43536
819,164.31795
825,67.57976
836,142.48004
839,119.83505
847,255.80225
848,136.9237
851,141.14742
852,120.74955
853,27.490667
857,135.91942
858,84.370766
859,218.09894
861,48.295998
867,104.56596
870,247.12686
871,199.82697
872,279.82416
874,339.6237
881,173.06287
886,118.80452
890,
895,136.77267
899,109.10297
900,289.27408
901,223.66522
902,251.90271
903,45.268158
913,230.9078
918,213.04417
923,200.26779
924,62.961765
926,42.072685
927,29.091867
930,210.64998
934,52.744465
937,201.8409
939,190.46626
941,88.19359
942,310.94662
946,248.88153
950,103.5352
953,89.87123
959,31.89334
961,36.042416
962,88.28206
964,91.37189
969,187.37
971,116.663376
976,59.00679
978,239.42
980,226.65234
981,148.85602
990,248.7678
993,30.647398
996,32.792404
998,292.8093
999,155.05463
1006,125.015686
1008,46.23446
1013,51.742134
1015,106.57135
1016,110.83402
1022,225.25732
1026,228.15468
1028,279.4069
1031,12.606908
1034,
1037,268.2134
1040,
1042,32.0145
1046,48.881798
1048,117.25245
1049,121.25883
1050,
1051,177.68042
1052,226.01468
1055,88.85929
1060,127.927216
1064,70.90208
1066,70.493416
1071,109.25882
1073,39.855476
1089,186.32314
1091,107.89359
1092,72.16631
1093,200.67245
1096,237.76743
1097,203.20177
1098,22.138607
1099,66.89943
1102,203.31242
1107,78.177414
1109,68.694435
1111,10.693341
1112,116.84682
1114,325.251
1116,268.97623
1117,120.571915
1118,68.8219
1122,
1124,161.17694
1127,111.30432
1133,265.87097
1134,75.26517
1135,215.3232
1139,268.25336
1143,
1150,112.77757
1151,110.06897
1153,274.1453
1155,46.368248
1162,45.11115
1163,209.93658
1166,38.30728
1171,105.570786
1172,37.296432
1173,225.62796
1174,64.01302
1177,123.88206
1178,100.8123
1184,101.554596
1185,133.50687
1186,138.35957
1187,198.88028
1188,273.35794
1191,135.46667
1207,100.843414
1213,78.369
1215,119.17565
1223,220.61267
1227,117.72979
1236,
1237,
1238,46.619293
1241,45.63101
1248,37.38698
1250,53.025764
1251,158.22404
1253,106.76765
1255,105.77656
1257,208.27257
1261,100.737114
1262,296.763
1265,131.97377
1273,188.66553
1277,225.00723
1278,122.99729
1280,99.41797
1284,170.1942
1285,284.28818
1288,43.01285
1295,117.35051
1297,309.74844
1299,261.47653
1304,187.41812
1308,61.836124
1310,110.98564
1311,113.8675
1314,87.42425
1315,133.79102
1318,63.58267
1320,278.88785
1321,260.5967
1322,229.81354
1330,128.51434
1333,169.78824
1334,267.74442
1341,137.87418
1344,174.43558
1351,251.7718
1354,27.38086
1356,
1363,118.64271
1365,197.803
1369,124.96827
1373,108.104126
1375,120.77626
1377,92.820206
1379,149.84375
1380,243.87381
1381,122.95384
1384,192.80646
1390,219.38918
1393,223.76796
1395,
1399,248.446
